wnum_cm-1,wavelength_um,freq_Hz,freq_GHz,n,k,R,D
0.3,41356.68,8993773740.0,8.99377374,2.59,22.2,0.9795146838785506,0.020485316121449437
0.28,44310.729,8394188824.000001,8.394188824,2.92,23.7,0.9797593441472966,0.020240655852703404
0.26,47719.246,7794603908.0,7.794603908,3.32,25.4,0.979994649171224,0.02000535082877597
0.24,51695.85,7195018992.0,7.195018992,3.81,27.5,0.9804461485777075,0.01955385142229249
0.22,56395.473,6595434076.0,6.595434076,4.44,30.0,0.980894877073164,0.01910512292683597
0.2,62035.02,5995849160.0,5.99584916,5.23,33.0,0.9814508239797578,0.018549176020242197
0.18,68927.8,5396264244.0,5.396264244,6.23,36.3,0.9818097263801816,0.018190273619818398
0.16,77543.775,4796679328.0,4.796679328,7.66,40.3,0.9819667708324996,0.018033229167500386
0.15,82713.36,4496886870.0,4.49688687,8.57,42.6,0.9820179443919094,0.01798205560809063
0.14,88621.457,4197094412.0000005,4.197094412,9.64,45.1,0.9820418926876413,0.017958107312358695
0.13,95438.492,3897301954.0,3.897301954,10.8,47.5,0.9819661113175175,0.018033888682482457
